School Name,School Number,Closed,School Street,School City,School State,School Zip,School Email,School Website,School Phone,School Fax,Principal Name,Principal Name (last),Principal Prefix,Principal Title,Grade Low,Grade High,Enrollment,School Accreditations,Diocese Name,Diocese Code,Diocese Street,Diocese City,Diocese State,Diocese Zip,Diocese Email,Diocese Website,Diocese Phone,Diocese Fax,Diocese Contact Name,Diocese Contact Name (last),Diocese Contact Prefix,Diocese Contact Title,District Name,District Number,District Type,District Enrollment,District Street,District City,District State,District Zip,District Email,District Website,District Phone,District Fax,District Contact Name,District Contact Name (last),District Contact Prefix,District Contact Title,County Name,County Number,Region Name
4 Our Kids Learning Academy,101206001,FALSE,7625 Garth Road,Baytown,TX,77521,director@4-our-kids.com,www.4-our-kids.com,(281) 421-9064,(281) 421-9067,Thewana Branch,,,,Kindergarten,Kindergarten,25,COGNIA : 2012,,,,,,,,,,,,,,,CYPRESS-FAIRBANKS ISD,101907,INDEPENDENT,110013,P O BOX 692003,HOUSTON,TX,77269-2003,donna.blowey@cfisd.net,www.cfisd.net,(281) 897-4000,(281) 897-4125,DR MARK HENRY   ,,,Superintendent,Harris,101,4
Abercrombie Academy,101130101,TRUE,17102 Theiss Mail Road,Spring,TX,77379,terry@abercrombieacademy.com,www.abercrombieacademy.com,(281) 374-1730,(281) 257-2207,Mr. Terry Abercrombie,,,,Pre-K,5,100,TAAPS : 1994,,,,,,,,,,,,,,,KLEIN ISD,101915,INDEPENDENT,47045,7200 SPRING-CYPRESS RD,KLEIN,TX,77379-3299,jcain@kleinisd.net,www.kleinisd.net,(832) 249-4000,(832) 249-4055,DR JAMES W CAIN   ,,,Superintendent,Harris,101,4
Abiding Word Lutheran School,101220001,FALSE,17123 Red Oak Drive,Houston,TX,77090,sethherrmann@gmail.com,https://awlcs.org/,(281) 895-7048,(281) 895-7048,Mr. Seth Hermann,,,,Pre-K,8,93,WELSSA : 2008,,,,,,,,,,,,,,,SPRING ISD,101919,INDEPENDENT,36098,16717 ELLA BLVD,HOUSTON,TX,77090-4299,rdraper@springisd.org,www.springisd.org/,(281) 891-6000,(281) 891-6026,DR RALPH H DRAPER   ,,,Superintendent,Harris,101,4
Abilene Christian School,221120101,FALSE,2550 N Judge Ely Blvd,Abilene,TX,79601,info@abilenechristian.com,www.abilenechristian.com,(325) 672-1200,(325) 672-1262,Kirk Wade,,,,Kindergarten,12,341,NCSA : 1951,,,,,,,,,,,,,,,ABILENE ISD,221901,INDEPENDENT,17152,P O BOX 981,ABILENE,TX,79604-0981,heath.burns@abileneisd.org,www.abileneisd.org,(325) 677-1444 ext. 7639,(325) 794-1325,DR HEATH BURNS   ,,,Superintendent,Taylor,221,14
Abilene Christian Secondary School,221120001,FALSE,2550 N Judge Ely BLVD,Abilene,TX,79601,info@abilenechristian.com,www.abilenechristian.com,(325) 672-6200,(325) 672-1262,Kirk Wade,,,,Pre-K,12,0,NCSA : 2008,,,,,,,,,,,,,,,ABILENE ISD,221901,INDEPENDENT,17152,P O BOX 981,ABILENE,TX,79604-0981,heath.burns@abileneisd.org,www.abileneisd.org,(325) 677-1444 ext. 7639,(325) 794-1325,DR HEATH BURNS   ,,,Superintendent,Taylor,221,14
Abilene Junior Academy,221300001,FALSE,2542 E. Overland Trail,Abilene,TX,79601,abilenejrchristianacademy@gmail.com,www.abilenejunior22.adventistschoolconnect.org,(325) 676-2785,(325) 000-0000,Susan Zimmerman,,,,Pre-K,8,0,TSDA : 2008,,,,,,,,,,,,,,,ABILENE ISD,221901,INDEPENDENT,17152,P O BOX 981,ABILENE,TX,79604-0981,heath.burns@abileneisd.org,www.abileneisd.org,(325) 677-1444 ext. 7639,(325) 794-1325,DR HEATH BURNS   ,,,Superintendent,Taylor,221,14
Abundant Life Christian School,84121101,FALSE,5130 Hallam Road,La Marque,TX,77568,cindyhallam@gmail.com,www.alcc.org,(409) 935-8773,(409) 935-8698,Ms. Cindy Hallam,,,,Pre-K,12,73,ICAA : 2015,,,,,,,,,,,,,,,TEXAS CITY ISD,84906,INDEPENDENT,5944,P O BOX 1150,TEXAS CITY,TX,77592-1150,clusignolo@tcisd.org,www.tcisd.org,(409) 916-0100,(409) 942-2655,DR CYNTHIA LUSIGNOLO   ,,,Superintendent,Galveston,84,4
Academy of Thought and Industry,227510001,FALSE,5815 Airport Blvd.,Austin,Texas,78752,jrichards@tohigherground.com,https://thoughtandindustry.com,(512) 910-8980,,Julia Richards,,,,9,12,25,COGNIA : 2021,,,,,,,,,,,,,,,AUSTIN ISD,227901,INDEPENDENT,86516,1111 W 6TH ST,AUSTIN,TX,78703-5399,superintendent@austinisd.org,www.austinisd.org,(512) 414-1700,(512) 414-1486,DR MERIA J CARSTARPHEN   ,,,Superintendent,Travis,227,13
ACE Academy,227105001,FALSE,3901 Shoal Creek Blvd,Austin,TX,78756,info@austingifted.org,www.austingifted.org,(512) 206-4070,(512) 532-6188,Tabitha Molett,,,,Pre-K,12,0,COGNIA : 2012,,,,,,,,,,,,,,,AUSTIN ISD,227901,INDEPENDENT,86516,1111 W 6TH ST,AUSTIN,TX,78703-5399,superintendent@austinisd.org,www.austinisd.org,(512) 414-1700,(512) 414-1486,DR MERIA J CARSTARPHEN   ,,,Superintendent,Travis,227,13
Achievers Center for Education,15160001,FALSE,5084 DeZavala Road,San Antonio,TX,78249,anne@uchurch.tv,achieverscenterforeducation.org,(210) 690-7328,(210) 696-7723,Anne Zuber ,,,,6,12,0,COGNIA : 2011,,,,,,,,,,,,,,,NORTHSIDE ISD,15915,INDEPENDENT,100159,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,info@nisd.net,www.nisd.net,(210) 397-8500,(210) 706-8772,DR BRIAN T WOODS   ,,,Superintendent,Bexar,15,20
