,5. Students % Hispanic: ,6. Students % White:,8. Students % Asian:,11. Students % Economically Disadvantaged:,16. Students % Gifted and Talented Education:,17. Attendance Rate (2017-18):,18. Annual Dropout Rate Gr. 9-12 (2017-18):,47. Staff % Teachers:,54. Staff % Minority:,57. Teacher % With 5 or Fewer Years of Experience: ,60. Teacher Turnover Rate:,78. Operating Revenue % Federal:,92. Expenditures % Basic Education Services: ,94. Expenditures % State Compensatory Education:,Racial Dif Stu/Tea,target,"DISTSIZE_1,000 to 1,599","DISTSIZE_1,600 to 2,999","DISTSIZE_10,000 to 24,999","DISTSIZE_25,000 to 49,999","DISTSIZE_3,000 to 4,999","DISTSIZE_5,000 to 9,999","DISTSIZE_50,000 and over",DISTSIZE_500 to 999,DISTSIZE_Under 500,COMMTYPE_Charters,COMMTYPE_Independent Town,COMMTYPE_Major Suburban,COMMTYPE_Major Urban,COMMTYPE_Non-metropolitan Fast Growing,COMMTYPE_Non-metropolitan Stable,COMMTYPE_Other Central City,COMMTYPE_Other Central City Suburban,COMMTYPE_Rural
0,6.7,84.8,0.5,42.6,8.5,96.5,0.0,51.0,14.1,11.8,7.8,19.3,32.0,3.1,3.6312500000000014,61.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,11.3,78.1,0.3,58.1,3.6,96.4,0.0,57.2,10.5,15.1,11.7,6.9,46.2,6.6,7.406250000000001,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,8.2,78.2,1.0,53.7,8.8,95.4,0.4,49.7,13.3,32.5,30.5,7.0,40.1,7.6,2.9875,53.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,13.9,73.2,0.0,47.8,6.0,95.9,0.9,52.4,12.5,26.9,14.4,8.4,36.7,10.2,10.8375,52.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,41.2,27.5,0.9,74.9,2.9,95.3,0.0,51.7,28.5,34.3,26.1,18.3,46.6,8.1,23.65,42.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,25.2,52.6,0.6,61.5,2.4,95.7,0.4,49.8,20.5,46.0,37.0,11.6,41.9,9.1,18.487500000000004,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,6.4,87.2,0.7,45.8,5.2,97.4,0.0,59.6,0.0,9.9,14.6,6.6,39.4,13.4,5.231249999999998,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,67.5,29.1,0.4,41.0,5.4,96.4,0.5,52.0,38.2,20.2,13.2,5.8,44.0,9.1,23.2125,43.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,27.2,52.9,1.5,51.0,9.4,95.7,0.4,49.3,25.2,40.0,26.9,7.0,58.6,6.4,13.974999999999998,56.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,25.6,63.0,0.7,54.4,5.3,96.3,1.3,50.2,17.5,22.8,13.0,8.3,41.1,8.9,14.906250000000002,60.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,41.6,25.4,1.1,77.2,11.4,95.7,1.4,45.5,40.4,36.8,13.6,13.6,42.9,9.1,24.6,44.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,6.9,86.6,0.4,56.0,4.4,94.8,1.2,49.0,5.0,29.2,19.9,11.1,38.7,9.2,4.512500000000003,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,51.9,33.2,0.3,78.9,3.6,94.9,0.8,46.5,36.6,30.6,18.0,12.8,39.5,11.2,23.51875,44.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,3.3,90.3,0.0,67.5,5.3,93.5,1.6,57.5,0.0,32.0,32.5,10.0,44.2,10.5,3.4000000000000012,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14,21.0,71.3,0.1,59.0,4.6,95.3,0.2,50.3,10.2,37.9,19.5,9.0,42.5,7.0,11.35625,51.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,42.6,50.8,2.2,67.2,5.0,93.9,1.9,46.0,25.9,34.3,26.7,10.1,46.9,6.7,13.71875,43.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,13.7,81.4,0.6,53.5,6.5,96.3,0.0,51.0,5.4,19.6,10.9,5.2,45.6,6.3,7.0625,64.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,8.4,87.9,0.1,20.9,6.3,96.8,0.0,58.9,7.0,20.8,13.8,3.9,51.8,2.9,4.0375000000000005,62.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,27.5,71.5,0.0,40.0,9.9,97.2,0.0,53.7,13.7,11.7,8.4,3.6,41.1,8.3,14.0875,64.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
19,12.6,83.8,0.0,40.8,3.9,95.8,1.8,60.6,13.2,41.7,33.2,5.4,39.9,6.1,3.8375,56.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,87.6,11.9,0.2,74.0,5.5,95.4,0.0,50.6,75.0,32.6,27.0,14.3,35.8,12.3,15.3125,40.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
21,60.7,36.7,0.3,54.0,4.4,95.8,0.9,55.6,43.0,18.1,19.3,10.5,46.3,5.5,17.975,46.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,80.2,18.0,0.1,74.1,3.1,94.4,2.1,42.7,63.2,36.0,16.6,14.2,38.0,10.7,18.00625,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,69.6,28.2,0.5,62.1,4.1,94.5,0.8,48.9,50.4,32.6,16.8,16.6,38.1,7.4,19.7375,37.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,86.4,12.6,0.2,79.4,4.0,93.5,0.5,48.3,67.3,49.5,31.0,12.0,38.2,10.4,19.45,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,30.0,58.1,0.6,49.5,11.2,96.6,0.8,46.3,22.2,34.5,14.4,9.2,44.6,5.5,15.95,49.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,50.5,37.4,0.9,59.5,4.8,95.4,2.0,57.5,24.1,34.4,10.8,10.5,44.4,5.9,20.481250000000006,45.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,52.6,35.6,0.4,64.1,3.8,96.5,0.0,51.2,29.2,23.8,30.4,11.7,35.6,9.6,23.075,50.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,84.8,13.9,0.4,86.1,1.8,95.9,0.0,51.7,37.2,37.2,25.2,14.0,35.7,15.5,33.3375,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,28.4,67.3,0.0,61.8,10.5,95.1,1.0,41.6,16.5,34.0,22.7,7.8,35.8,10.1,12.25,43.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,33.9,62.7,0.4,53.5,5.3,94.8,1.4,50.9,16.7,27.5,18.1,11.8,37.1,10.0,12.00625,42.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,67.4,25.3,0.4,70.5,6.3,94.7,0.3,60.2,34.1,40.4,24.1,10.6,44.4,6.7,23.543750000000006,37.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,68.3,17.7,0.4,77.3,8.5,94.7,1.8,45.6,46.8,54.4,29.4,14.5,40.3,8.5,23.83125,31.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,31.9,55.7,0.8,58.9,7.3,95.3,0.3,52.3,16.7,40.3,22.7,11.2,41.6,6.8,14.674999999999995,45.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,19.4,74.1,0.3,58.1,3.1,96.0,1.7,51.4,8.1,21.8,18.8,7.1,38.9,16.9,10.293750000000003,59.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35,83.5,12.5,0.3,84.5,4.0,92.8,1.6,45.1,67.4,44.0,22.7,12.9,39.0,12.9,18.875,36.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,66.9,31.2,0.0,74.8,4.1,95.5,3.6,49.2,52.3,34.3,7.7,11.6,37.3,7.3,18.612500000000004,35.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37,68.5,28.0,0.6,64.5,7.4,95.0,1.4,52.9,58.4,31.3,24.0,8.4,39.8,8.4,12.0625,50.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
38,62.8,21.2,0.4,68.3,0.0,81.8,22.0,40.1,43.4,49.7,55.5,5.9,44.1,10.7,23.1,10.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,26.6,45.5,3.4,57.7,2.2,95.1,0.0,56.0,29.7,48.5,44.8,7.9,47.7,7.7,13.062500000000002,37.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
40,21.6,65.9,3.5,15.4,0.0,95.9,0.8,63.6,18.9,38.9,21.5,3.6,51.4,5.2,7.799999999999998,65.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,21.4,66.7,0.9,44.5,7.9,95.8,0.6,53.0,12.4,34.3,21.0,7.0,47.6,7.8,13.656249999999998,54.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,65.8,19.6,0.0,83.9,0.9,95.5,0.0,43.6,35.6,39.3,43.2,17.7,32.1,17.0,33.612500000000004,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,33.6,52.5,2.0,45.5,9.4,95.6,0.4,47.2,27.1,29.5,15.9,10.6,44.8,5.6,14.7125,53.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,27.9,66.0,0.0,48.9,6.6,96.7,0.0,51.0,16.8,22.6,8.1,17.9,35.0,9.6,12.9625,62.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
